,AA,CC,Id,Ti,Y,authors,logprob,paper
10,"[{'AfId': 154425047, 'AuN': 'yaoliang yu', 'AfN': 'university of alberta', 'AuId': 2119954973}]",23,2155827809,on decomposing the proximal map,2013,['Yao-Liang Yu'],-20.164,On Decomposing the Proximal Map
11,"[{'AfId': 130701444, 'AuN': 'liam macdermed', 'AfN': 'georgia institute of technology', 'AuId': 2010111737}, {'AfId': 130701444, 'AuN': 'charles lee isbell', 'AfN': 'georgia institute of technology', 'AuId': 2106580818}]",12,2164851390,point based value iteration with optimal belief compression for dec pomdps,2013,"['Liam C. MacDermed', 'Charles L. Isbell']",-20.443,Point Based Value Iteration with Optimal Belief Compression for Dec-POMDPs
12,"[{'AfId': 149899117, 'AuN': 'ilya o tolstikhin', 'AfN': 'max planck society', 'AuId': 2192063591}, {'AfId': 149899117, 'AuN': 'yevgeny seldin', 'AfN': 'max planck society', 'AuId': 1186584138}]",9,1598203402,pac bayes empirical bernstein inequality,2013,"['Ilya O. Tolstikhin', 'Yevgeny Seldin']",-20.574,PAC-Bayes-Empirical-Bernstein Inequality
13,"[{'AfId': 59553526, 'AuN': 'chenping yu', 'AfN': 'stony brook university', 'AuId': 2512468772}, {'AfId': 130769515, 'AuN': 'wenyu hua', 'AfN': 'pennsylvania state university', 'AuId': 2658474897}, {'AfId': 59553526, 'AuN': 'dimitris samaras', 'AfN': 'stony brook university', 'AuId': 1972556819}, {'AfId': 59553526, 'AuN': 'gregory j zelinsky', 'AfN': 'stony brook university', 'AuId': 58434540}]",5,2147915981,modeling clutter perception using parametric proto object partitioning,2013,"['Chen-Ping Yu', 'Wen-Yu Hua', 'Dimitris Samaras', 'Greg Zelinsky']",-20.996,Modeling Clutter Perception using Parametric Proto-object Partitioning
14,"[{'AfId': 180910786, 'AuN': 'marcelo fiori', 'AfN': 'university of the republic', 'AuId': 2113112913}, {'AfId': 170897317, 'AuN': 'pablo sprechmann', 'AfN': 'duke university', 'AuId': 2007031271}, {'AfId': 170897317, 'AuN': 'joshua t vogelstein', 'AfN': 'duke university', 'AuId': 1980017490}, {'AfId': 180910786, 'AuN': 'pablo muse', 'AfN': 'university of the republic', 'AuId': 2052053619}, {'AfId': 170897317, 'AuN': 'guillermo sapiro', 'AfN': 'duke university', 'AuId': 2114921128}]",15,2135678015,robust multimodal graph matching sparse coding meets graph matching,2013,"['Marcelo Fiori', 'Pablo Sprechmann', 'Joshua Vogelstein', 'Pablo Muse', 'Guillermo Sapiro']",-20.235,Robust Multimodal Graph Matching: Sparse Coding Meets Graph Matching
15,"[{'AfId': 161318765, 'AuN': 'elias bareinboim', 'AfN': 'university of california los angeles', 'AuId': 237352020}, {'AfId': 130769515, 'AuN': 'sanghack lee', 'AfN': 'pennsylvania state university', 'AuId': 2767107679}, {'AfId': 130769515, 'AuN': 'vasant g honavar', 'AfN': 'pennsylvania state university', 'AuId': 2069172874}, {'AfId': 161318765, 'AuN': 'judea pearl', 'AfN': 'university of california los angeles', 'AuId': 2248165042}]",6,2133512894,transportability from multiple environments with limited experiments,2013,"['Elias Bareinboim', 'Sanghack Lee', 'Vasant Honavar', 'Judea Pearl']",-20.123,Transportability from Multiple Environments with Limited Experiments
16,"[{'AfId': 197251160, 'AuN': 'amit daniely', 'AfN': 'hebrew university of jerusalem', 'AuId': 80354510}, {'AfId': 197251160, 'AuN': 'nati linial', 'AfN': 'hebrew university of jerusalem', 'AuId': 2056681638}, {'AfId': 197251160, 'AuN': 'shai shalevshwartz', 'AfN': 'hebrew university of jerusalem', 'AuId': 92438100}]",21,2155831576,more data speeds up training time in learning halfspaces over sparse vectors,2013,"['Amit Daniely', 'Nati Linial', 'Shai Shalev-Shwartz']",-20.423,More data speeds up training time in learning halfspaces over sparse vectors
17,"[{'AfId': 35440088, 'AuN': 'jonas peters', 'AfN': 'eth zurich', 'AuId': 2296948990}, {'AfId': 149899117, 'AuN': 'dominik janzing', 'AfN': 'max planck society', 'AuId': 2330451}, {'AfId': 149899117, 'AuN': 'bernhard scholkopf', 'AfN': 'max planck society', 'AuId': 297432538}]",17,2135631431,causal inference on time series using restricted structural equation models,2013,"['Jonas Peters', 'Dominik Janzing', 'Bernhard Schölkopf']",-19.884,Causal Inference on Time Series using Restricted Structural Equation Models
18,"[{'AfId': 40120149, 'AuN': 'karen simonyan', 'AfN': 'university of oxford', 'AuId': 2033942250}, {'AfId': 40120149, 'AuN': 'andrea vedaldi', 'AfN': 'university of oxford', 'AuId': 332962150}, {'AfId': 40120149, 'AuN': 'andrew zisserman', 'AfN': 'university of oxford', 'AuId': 2469405535}]",149,2165146474,deep fisher networks for large scale image classification,2013,"['Karen Simonyan', 'Andrea Vedaldi', 'Andrew Zisserman']",-18.376,Deep Fisher Networks for Large-Scale Image Classification
19,"[{'AfId': 98301712, 'AuN': 'lei shi', 'AfN': 'baidu', 'AuId': 2617278666}]",2,2130119912,sparse additive text models with low rank background,2013,['Lei Shi'],-21.39,Sparse Additive Text Models with Low Rank Background
20,"[{'AfId': 95457486, 'AuN': 'chong wang', 'AfN': 'university of california berkeley', 'AuId': 2221257390}, {'AfId': 95457486, 'AuN': 'xi chen', 'AfN': 'university of california berkeley', 'AuId': 2704209241}, {'AfId': 95457486, 'AuN': 'alexander j smola', 'AfN': 'university of california berkeley', 'AuId': 2761873543}, {'AfId': 95457486, 'AuN': 'eric p xing', 'AfN': 'university of california berkeley', 'AuId': 351197510}]",54,2145832734,variance reduction for stochastic gradient optimization,2013,"['Chong Wang', 'Xi Chen', 'Alexander J. Smola', 'Eric P. Xing']",-19.121,Variance Reduction for Stochastic Gradient Optimization
21,"[{'AfId': 32597200, 'AuN': 'michiel hermans', 'AfN': 'ghent university', 'AuId': 2125674462}, {'AfId': 32597200, 'AuN': 'benjamin schrauwen', 'AfN': 'ghent university', 'AuId': 2122775887}]",154,2159505618,training and analysing deep recurrent neural networks,2013,"['Michiel Hermans', 'Benjamin Schrauwen']",-18.374,Training and Analysing Deep Recurrent Neural Networks
22,"[{'AfId': 27804330, 'AuN': 'jeffrey w miller', 'AfN': 'brown university', 'AuId': 2168277670}, {'AfId': 27804330, 'AuN': 'matthew t harrison', 'AfN': 'brown university', 'AuId': 2099496881}]",62,2115707882,a simple example of dirichlet process mixture inconsistency for the number of components,2013,"['Jeffrey W. Miller', 'Matthew T. Harrison']",-19.836,A simple example of Dirichlet process mixture inconsistency for the number of components
23,"[{'AfId': 97018004, 'AuN': 'sergey levine', 'AfN': 'stanford university', 'AuId': 2140030024}, {'AfId': 97018004, 'AuN': 'vladlen koltun', 'AfN': 'stanford university', 'AuId': 1809196549}]",53,2098284983,variational policy search via trajectory optimization,2013,"['Sergey Levine', 'Vladlen Koltun']",-19.227,Variational Policy Search via Trajectory Optimization
24,"[{'AfId': 124055696, 'AuN': 'aasa feragen', 'AfN': 'university of copenhagen', 'AuId': 1974265203}, {'AfId': 124055696, 'AuN': 'niklas kasenburg', 'AfN': 'university of copenhagen', 'AuId': 219043222}, {'AfId': 124055696, 'AuN': 'jens petersen', 'AfN': 'university of copenhagen', 'AuId': 2112654677}, {'AfId': 124055696, 'AuN': 'marleen de bruijne', 'AfN': 'university of copenhagen', 'AuId': 1968921007}, {'AfId': 149899117, 'AuN': 'karsten m borgwardt', 'AfN': 'max planck society', 'AuId': 2086114595}]",63,2124824205,scalable kernels for graphs with continuous attributes,2013,"['Aasa Feragen', 'Niklas Kasenburg', 'Jens Petersen', 'Marleen de Bruijne', 'Karsten Borgwardt']",-19.527,Scalable kernels for graphs with continuous attributes
25,"[{'AfId': 159176309, 'AuN': 'ulrike von luxburg', 'AfN': 'university of hamburg', 'AuId': 251023228}, {'AfId': 159176309, 'AuN': 'morteza alamgir', 'AfN': 'university of hamburg', 'AuId': 2117483571}]",13,2111288402,density estimation from unweighted k nearest neighbor graphs a roadmap,2013,"['Ulrike Von Luxburg', 'Morteza Alamgir']",-20.258,Density estimation from unweighted k-nearest neighbor graphs: a roadmap
26,"[{'AfId': 1290206253, 'AuN': 'jamie shotton', 'AfN': 'microsoft', 'AuId': 2046931170}, {'AfId': 1290206253, 'AuN': 'toby sharp', 'AfN': 'microsoft', 'AuId': 2103329329}, {'AfId': 1290206253, 'AuN': 'pushmeet kohli', 'AfN': 'microsoft', 'AuId': 2141745054}, {'AfId': 1290206253, 'AuN': 'sebastian nowozin', 'AfN': 'microsoft', 'AuId': 1887389880}, {'AfId': 1290206253, 'AuN': 'john winn', 'AfN': 'microsoft', 'AuId': 2140907548}, {'AfId': 1290206253, 'AuN': 'antonio criminisi', 'AfN': 'microsoft', 'AuId': 102275141}]",26,2098458263,decision jungles compact and rich models for classification,2013,"['Jamie Shotton', 'Toby Sharp', 'Pushmeet Kohli', 'Sebastian Nowozin', 'John Winn', 'Antonio Criminisi']",-19.562,Decision Jungles: Compact and Rich Models for Classification
27,"[{'AfId': 114090438, 'AuN': 'zhenwen dai', 'AfN': 'goethe university frankfurt', 'AuId': 2712055834}, {'AfId': 95457486, 'AuN': 'georgios exarchakis', 'AfN': 'university of california berkeley', 'AuId': 2556813436}, {'AfId': 4577782, 'AuN': 'jorg lucke', 'AfN': 'technical university of berlin', 'AuId': 2100807608}]",4,2128531008,what are the invariant occlusive components of image patches a probabilistic generative approach,2013,"['Zhenwen Dai', 'Georgios Exarchakis', 'Jörg Lücke']",-20.983,What Are the Invariant Occlusive Components of Image Patches? A Probabilistic Generative Approach
28,"[{'AfId': 1326498283, 'AuN': 'prashanth l a', 'AfN': 'french institute for research in computer science and automation', 'AuId': 2680266414}, {'AfId': 1326498283, 'AuN': 'mohammad ghavamzadeh', 'AfN': 'french institute for research in computer science and automation', 'AuId': 18953175}]",24,2141203641,actor critic algorithms for risk sensitive mdps,2013,"['Prashanth L.A.', 'Mohammad Ghavamzadeh']",-19.975,Actor-Critic Algorithms for Risk-Sensitive MDPs
29,"[{'AfId': 4405392, 'AuN': 'isik baris fidaner', 'AfN': 'bogazici university', 'AuId': 2308266170}, {'AfId': 4405392, 'AuN': 'taylan cemgil', 'AfN': 'bogazici university', 'AuId': 2626991790}]",3,2128558710,summary statistics for partitionings and feature allocations,2013,"['Isik B. Fidaner', 'Taylan Cemgil']",-20.251,Summary Statistics for Partitionings and Feature Allocations
30,"[{'AfId': 102322142, 'AuN': 'lee h dicker', 'AfN': 'rutgers university', 'AuId': 2216846583}, {'AfId': 79576946, 'AuN': 'dean p foster', 'AfN': 'university of pennsylvania', 'AuId': 2140989583}]",2,2138244273,one shot learning and big data with n 2,2013,"['Lee H. Dicker', 'Dean P. Foster']",-21.018,One-shot learning and big data with n=2
31,"[{'AfId': 73142707, 'AuN': 'michalis k titsias', 'AfN': 'athens university of economics and business', 'AuId': 167087310}, {'AfId': 50357001, 'AuN': 'miguel lazarogredilla', 'AfN': 'charles iii university of madrid', 'AuId': 1133076831}]",10,2154382426,variational inference for mahalanobis distance metrics in gaussian process regression,2013,"['Michalis Titsias RC AUEB', 'Miguel Lazaro-Gredilla']",-20.81,Variational Inference for Mahalanobis Distance Metrics in Gaussian Process Regression
32,"[{'AfId': 241749, 'AuN': 'cristina savin', 'AfN': 'university of cambridge', 'AuId': 2603256914}, {'AfId': 45129253, 'AuN': 'peter dayan', 'AfN': 'university college london', 'AuId': 2057359516}, {'AfId': 241749, 'AuN': 'mate lengyel', 'AfN': 'university of cambridge', 'AuId': 2085104429}]",3,2134876084,correlations strike back again the case of associative memory retrieval,2013,"['Cristina Savin', 'Peter Dayan', 'Mate Lengyel']",-20.891,Correlations strike back (again): the case of associative memory retrieval
33,"[{'AfId': 79576946, 'AuN': 'zhuo wang', 'AfN': 'university of pennsylvania', 'AuId': 2405762549}, {'AfId': 79576946, 'AuN': 'alan a stocker', 'AfN': 'university of pennsylvania', 'AuId': 2109018630}, {'AfId': 79576946, 'AuN': 'daniel d lee', 'AfN': 'university of pennsylvania', 'AuId': 2131216814}]",2,2138505967,optimal neural population codes for high dimensional stimulus variables,2013,"['Zhuo Wang', 'Alan A. Stocker', 'Daniel D. Lee']",-21.394,Optimal Neural Population Codes for High-dimensional Stimulus Variables
34,"[{'AfId': 241749, 'AuN': 'ryan d turner', 'AfN': 'university of cambridge', 'AuId': 2164899499}, {'AfId': 112185891, 'AuN': 'steven bottone', 'AfN': 'rockwell collins', 'AuId': 1967706514}, {'AuN': 'clay j stanek', 'AuId': 2177016141}]",3,2104064333,online variational approximations to non exponential family change point models with application to radar tracking,2013,"['Ryan D. Turner', 'Steven Bottone', 'Clay J. Stanek']",-21.23,Online Variational Approximations to non-Exponential Family Change Point Models: With Application to Radar Tracking
35,"[{'AuN': 'rie johnson', 'AuId': 2129498946}, {'AfId': 102322142, 'AuN': 'tong zhang', 'AfN': 'rutgers university', 'AuId': 2510858842}]",690,2107438106,accelerating stochastic gradient descent using predictive variance reduction,2013,"['Rie Johnson', 'Tong Zhang']",-16.952,Accelerating Stochastic Gradient Descent using Predictive Variance Reduction
36,"[{'AfId': 97018004, 'AuN': 'jason d lee', 'AfN': 'stanford university', 'AuId': 2239320619}, {'AfId': 1290206253, 'AuN': 'ran giladbachrach', 'AfN': 'microsoft', 'AuId': 274891381}, {'AfId': 1290206253, 'AuN': 'rich caruana', 'AfN': 'microsoft', 'AuId': 2106722673}]",1,2133949054,using multiple samples to learn mixture models,2013,"['Jason D. Lee', 'Ran Gilad-Bachrach', 'Rich Caruana']",-20.838,Using multiple samples to learn mixture models
37,"[{'AfId': 74973139, 'AuN': 'tzukuo huang', 'AfN': 'carnegie mellon university', 'AuId': 2104512981}, {'AfId': 74973139, 'AuN': 'jeff g schneider', 'AfN': 'carnegie mellon university', 'AuId': 2165347984}]",2,2167809057,learning hidden markov models from non sequence data via tensor decomposition,2013,"['Tzu-Kuo Huang', 'Jeff Schneider']",-21.419,Learning Hidden Markov Models from Non-sequence Data via Tensor Decomposition
38,"[{'AfId': 1174212, 'AuN': 'jason d lee', 'AfN': 'university of southern california', 'AuId': 2239320619}, {'AfId': 97018004, 'AuN': 'yuekai sun', 'AfN': 'stanford university', 'AuId': 2099978586}, {'AfId': 97018004, 'AuN': 'jonathan taylor', 'AfN': 'stanford university', 'AuId': 2161010623}]",7,2143072755,on model selection consistency of penalized m estimators a geometric theory,2013,"['Jason D. Lee', 'Yuekai Sun', 'Jonathan E. Taylor']",-20.703,On model selection consistency of penalized M-estimators: a geometric theory
39,"[{'AfId': 97018004, 'AuN': 'stefan wager', 'AfN': 'stanford university', 'AuId': 1375400056}, {'AfId': 97018004, 'AuN': 'sida i wang', 'AfN': 'stanford university', 'AuId': 2108106141}, {'AfId': 97018004, 'AuN': 'percy liang', 'AfN': 'stanford university', 'AuId': 2171686691}]",211,2152722485,dropout training as adaptive regularization,2013,"['Stefan Wager', 'Sida Wang', 'Percy S. Liang']",-17.858,Dropout Training as Adaptive Regularization
40,"[{'AfId': 79576946, 'AuN': 'paramveer s dhillon', 'AfN': 'university of pennsylvania', 'AuId': 2076182545}, {'AfId': 79576946, 'AuN': 'yichao lu', 'AfN': 'university of pennsylvania', 'AuId': 2103426636}, {'AfId': 79576946, 'AuN': 'dean p foster', 'AfN': 'university of pennsylvania', 'AuId': 2140989583}, {'AfId': 79576946, 'AuN': 'lyle h ungar', 'AfN': 'university of pennsylvania', 'AuId': 2147282416}]",18,2170582628,new subsampling algorithms for fast least squares regression,2013,"['Paramveer Dhillon', 'Yichao Lu', 'Dean P. Foster', 'Lyle Ungar']",-19.948,New Subsampling Algorithms for Fast Least Squares Regression
41,"[{'AfId': 79576946, 'AuN': 'yichao lu', 'AfN': 'university of pennsylvania', 'AuId': 2103426636}, {'AfId': 79576946, 'AuN': 'paramveer s dhillon', 'AfN': 'university of pennsylvania', 'AuId': 2076182545}, {'AfId': 79576946, 'AuN': 'dean p foster', 'AfN': 'university of pennsylvania', 'AuId': 2140989583}, {'AfId': 79576946, 'AuN': 'lyle h ungar', 'AfN': 'university of pennsylvania', 'AuId': 2147282416}]",62,2135921993,faster ridge regression via the subsampled randomized hadamard transform,2013,"['Yichao Lu', 'Paramveer Dhillon', 'Dean P. Foster', 'Lyle Ungar']",-19.491,Faster Ridge Regression via the Subsampled Randomized Hadamard Transform
42,"[{'AfId': 197251160, 'AuN': 'shai shalevshwartz', 'AfN': 'hebrew university of jerusalem', 'AuId': 92438100}, {'AfId': 102322142, 'AuN': 'tong zhang', 'AfN': 'rutgers university', 'AuId': 2510858842}]",97,2106728335,accelerated mini batch stochastic dual coordinate ascent,2013,"['Shai Shalev-Shwartz', 'Tong Zhang']",-18.96,Accelerated Mini-Batch Stochastic Dual Coordinate Ascent
43,"[{'AfId': 1326498283, 'AuN': 'bruno scherrer', 'AfN': 'french institute for research in computer science and automation', 'AuId': 1735999048}]",11,2569529055,improved and generalized upper bounds on the complexity of policy iteration,2016,['Bruno Scherrer'],-20.203,Improved and Generalized Upper Bounds on the Complexity of Policy Iteration
44,"[{'AfId': 160992636, 'AuN': 'dahua lin', 'AfN': 'toyota technological institute at chicago', 'AuId': 2776787694}]",20,2122340819,online learning of nonparametric mixture models via sequential variational approximation,2013,['Dahua Lin'],-19.931,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation
45,"[{'AfId': 165932596, 'AuN': 'jiashi feng', 'AfN': 'national university of singapore', 'AuId': 2170351238}, {'AfId': 165932596, 'AuN': 'huan xu', 'AfN': 'national university of singapore', 'AuId': 2139723518}, {'AfId': 165932596, 'AuN': 'shuicheng yan', 'AfN': 'national university of singapore', 'AuId': 2144833106}]",145,2154992274,online robust pca via stochastic optimization,2013,"['Jiashi Feng', 'Huan Xu', 'Shuicheng Yan']",-18.461,Online Robust PCA via Stochastic Optimization
46,"[{'AfId': 149899117, 'AuN': 'fabian h sinz', 'AfN': 'max planck society', 'AuId': 241899517}, {'AfId': 187531555, 'AuN': 'anna stockl', 'AfN': 'lund university', 'AuId': 2088003308}, {'AuN': 'january grewe', 'AuId': 2573308249}, {'AuN': 'january benda', 'AuId': 2579730593}]",1,2130107494,least informative dimensions,2013,"['Fabian Sinz', 'Anna Stockl', 'Jan Grewe', 'Jan Benda']",-21.491,Least Informative Dimensions
47,"[{'AfId': 74973139, 'AuN': 'junming yin', 'AfN': 'carnegie mellon university', 'AuId': 2104121242}, {'AfId': 74973139, 'AuN': 'qirong ho', 'AfN': 'carnegie mellon university', 'AuId': 2171689288}, {'AfId': 74973139, 'AuN': 'eric p xing', 'AfN': 'carnegie mellon university', 'AuId': 351197510}]",14,2142092798,a scalable approach to probabilistic latent space inference of large scale networks,2013,"['Junming Yin', 'Qirong Ho', 'Eric P. Xing']",-20.284,A Scalable Approach to Probabilistic Latent Space Inference of Large-Scale Networks
48,"[{'AfId': 157674565, 'AuN': 'gilles louppe', 'AfN': 'university of liege', 'AuId': 157052978}, {'AfId': 157674565, 'AuN': 'louis wehenkel', 'AfN': 'university of liege', 'AuId': 1983098590}, {'AfId': 157674565, 'AuN': 'antonio sutera', 'AfN': 'university of liege', 'AuId': 2136390378}, {'AfId': 157674565, 'AuN': 'pierre geurts', 'AfN': 'university of liege', 'AuId': 2064583791}]",172,2169178923,understanding variable importances in forests of randomized trees,2013,"['Gilles Louppe', 'Louis Wehenkel', 'Antonio Sutera', 'Pierre Geurts']",-18.588,Understanding variable importances in forests of randomized trees
49,"[{'AfId': 35440088, 'AuN': 'brian mcwilliams', 'AfN': 'eth zurich', 'AuId': 2171258051}, {'AfId': 35440088, 'AuN': 'david balduzzi', 'AfN': 'eth zurich', 'AuId': 1989182473}, {'AfId': 35440088, 'AuN': 'joachim m buhmann', 'AfN': 'eth zurich', 'AuId': 2051956577}]",20,2162892577,correlated random features for fast semi supervised learning,2013,"['Brian McWilliams', 'David Balduzzi', 'Joachim M. Buhmann']",-20.204,Correlated random features for fast semi-supervised learning
50,"[{'AfId': 63966007, 'AuN': 'trevor campbell', 'AfN': 'massachusetts institute of technology', 'AuId': 2115883070}, {'AfId': 170897317, 'AuN': 'miao liu', 'AfN': 'duke university', 'AuId': 2151814290}, {'AfId': 52357470, 'AuN': 'brian kulis', 'AfN': 'ohio state university', 'AuId': 2234508751}, {'AfId': 63966007, 'AuN': 'jonathan p how', 'AfN': 'massachusetts institute of technology', 'AuId': 1902127369}, {'AfId': 170897317, 'AuN': 'lawrence carin', 'AfN': 'duke university', 'AuId': 657437189}]",23,2118607269,dynamic clustering via asymptotics of the dependent dirichlet process mixture,2013,"['Trevor Campbell', 'Miao Liu', 'Brian Kulis', 'Jonathan P. How', 'Lawrence Carin']",-19.847,Dynamic Clustering via Asymptotics of the Dependent Dirichlet Process Mixture
51,"[{'AfId': 154425047, 'AuN': 'yaoliang yu', 'AfN': 'university of alberta', 'AuId': 2119954973}]",18,2138972044,better approximation and faster algorithm using the proximal average,2013,['Yao-Liang Yu'],-20.325,Better Approximation and Faster Algorithm Using the Proximal Average
52,"[{'AfId': 98285908, 'AuN': 'mahito sugiyama', 'AfN': 'osaka university', 'AuId': 2267106725}, {'AfId': 8087733, 'AuN': 'karsten m borgwardt', 'AfN': 'university of tubingen', 'AuId': 2086114595}]",26,2113060550,rapid distance based outlier detection via sampling,2013,"['Mahito Sugiyama', 'Karsten Borgwardt']",-19.897,Rapid Distance-Based Outlier Detection via Sampling
53,"[{'AfId': 95457486, 'AuN': 'poling loh', 'AfN': 'university of california berkeley', 'AuId': 2104185790}, {'AfId': 95457486, 'AuN': 'martin j wainwright', 'AfN': 'university of california berkeley', 'AuId': 229038272}]",152,2137911812,regularized m estimators with nonconvexity statistical and algorithmic theory for local optima,2013,"['Po-Ling Loh', 'Martin J. Wainwright']",-18.71,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima
54,"[{'AfId': 5124864, 'AuN': 'carlos joaquin becker', 'AfN': 'ecole polytechnique federale de lausanne', 'AuId': 2124017192}, {'AfId': 5124864, 'AuN': 'christos marios christoudias', 'AfN': 'ecole polytechnique federale de lausanne', 'AuId': 2097998303}, {'AfId': 5124864, 'AuN': 'pascal fua', 'AfN': 'ecole polytechnique federale de lausanne', 'AuId': 2461306359}]",12,2150210531,non linear domain adaptation with boosting,2013,"['Carlos J. Becker', 'Christos M. Christoudias', 'Pascal Fua']",-20.433,Non-Linear Domain Adaptation with Boosting
